Variety,Block,Row,Column,Rep,Sampling_Date,Cannabichromene,Cannabidiol,Cannabidiolic_Acid,Cannabidivarin,Cannabigerol,Cannabigerolic_ Acid,Cannabicyclol,Cannabinol,8-Tetrahydrocannabinol,9-Tetrahydrocannabinol,Tetrahydrocannabinolic_Acid,Tetrahydrocannabidivarin,Total_Potential_THC,Total_Potential_CBD
CherryBlossomxTI,,,,3,10/18/2019,0.353,4.606,4.221,BLOQ,0.318,0.163,BLOQ,BLOQ,BLOQ,0.463,BLOQ,BLOQ,0.463,8.308
CherryWine,,,,1,10/18/2019,0.218,3.226,1.115,BLOQ,0.112,BLOQ,BLOQ,BLOQ,BLOQ,0.183,BLOQ,BLOQ,0.183,4.204
CherryWine,,,,3,10/18/2019,0.454,5.378,1.627,BLOQ,0.22,BLOQ,BLOQ,BLOQ,BLOQ,0.373,BLOQ,BLOQ,0.373,6.805
HanFNQ,,,,1,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.054,BLOQ,0.068,0.054,BLOQ
HanNE,,,,1,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.239,0.059,0.279,0.291,BLOQ
HanNE,,,,2,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.352,0.469,0.651,0.763,BLOQ
HanNW,,,,1,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.152,BLOQ,0.178,0.152,BLOQ
Puma-3,,,,1,10/24/2019,BLOQ,BLOQ,0.674,BLOQ,BLOQ,0.053,BLOQ,BLOQ,BLOQ,0.048,0.761,BLOQ,0.715,0.674
Puma-4,,,,1,10/24/2019,BLOQ,0.062,0.959,BLOQ,BLOQ,0.081,BLOQ,BLOQ,BLOQ,BLOQ,0.433,BLOQ,0.433,0.903
Si-1,,,,1,10/24/2019,0.1,BLOQ,BLOQ,BLOQ,0.088,BLOQ,BLOQ,0.139,BLOQ,0.93,BLOQ,0.112,0.93,BLOQ
Si-1,,,,2,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.08,BLOQ,BLOQ,BLOQ,0.151,0.918,BLOQ,0.956,BLOQ
