Date,Year,Month,Day,Block,Block_oldname,block_newname,Row,Column,Height_Males_cm
3/5/2020,2020,3,5,4,PP,1-4,3,C,19
3/5/2020,2020,3,5,4,PP,1-4,3,D,38
3/5/2020,2020,3,5,4,PP,1-4,4,B,21
3/5/2020,2020,3,5,4,PP,1-4,4,B,12
3/5/2020,2020,3,5,4,PP,1-4,4,C,12
3/5/2020,2020,3,5,4,PP,1-4,4,D,16
3/5/2020,2020,3,5,4,PP,1-4,4,D,19
3/5/2020,2020,3,5,4,PP,1-4,4,D,13
3/5/2020,2020,3,5,6,VT,5-9,2,C,17
3/5/2020,2020,3,5,9,VT,5-9,4,D,12
3/11/2020,2020,3,11,1,PP,1-4,1,D,14
3/11/2020,2020,3,11,1,PP,1-4,1,D,12
3/11/2020,2020,3,11,3,PP,1-4,1,B,18
3/11/2020,2020,3,11,3,PP,1-4,1,B,19
3/11/2020,2020,3,11,3,PP,1-4,WP,,17
3/11/2020,2020,3,11,3,PP,1-4,1,C,11
3/11/2020,2020,3,11,3,PP,1-4,2,B,17
3/11/2020,2020,3,11,3,PP,1-4,2,B,18
3/11/2020,2020,3,11,3,PP,1-4,2,C,31
3/11/2020,2020,3,11,3,PP,1-4,2,C,16
3/11/2020,2020,3,11,3,PP,1-4,2,D,22
3/11/2020,2020,3,11,3,PP,1-4,WP,,17
3/11/2020,2020,3,11,3,PP,1-4,WP,,18
3/11/2020,2020,3,11,3,PP,1-4,WP,,14
3/11/2020,2020,3,11,4,PP,1-4,3,B,15
3/11/2020,2020,3,11,4,PP,1-4,3,B,16
3/11/2020,2020,3,11,4,PP,1-4,3,D,19
3/11/2020,2020,3,11,4,PP,1-4,4,B,23
3/11/2020,2020,3,11,4,PP,1-4,4,C,21
3/11/2020,2020,3,11,4,PP,1-4,4,D,17
3/11/2020,2020,3,11,4,PP,1-4,4,D,18
3/11/2020,2020,3,11,4,PP,1-4,4,D,22
3/11/2020,2020,3,11,4,PP,1-4,4,D,28
3/11/2020,2020,3,11,5,VT,5-9,WP,,13
3/11/2020,2020,3,11,6,VT,5-9,2,C,18
3/11/2020,2020,3,11,6,VT,5-9,2,C,22
3/11/2020,2020,3,11,6,VT,5-9,2,C,23
3/11/2020,2020,3,11,6,VT,5-9,2,C,8
3/11/2020,2020,3,11,9,VT,5-9,3,D,18
3/20/2020,2020,3,20,1,PP,1-4,1,D,21
3/20/2020,2020,3,20,3,PP,1-4,1,B,23
3/20/2020,2020,3,20,3,PP,1-4,1,B,9
3/20/2020,2020,3,20,3,PP,1-4,WP,,23
3/20/2020,2020,3,20,3,PP,1-4,WP,,12
3/20/2020,2020,3,20,3,PP,1-4,WP,,21
3/20/2020,2020,3,20,3,PP,1-4,WP,,17
3/20/2020,2020,3,20,3,PP,1-4,WP,,11
3/20/2020,2020,3,20,3,PP,1-4,1,C,15
3/20/2020,2020,3,20,3,PP,1-4,1,C,13
3/20/2020,2020,3,20,3,PP,1-4,1,C,12
3/20/2020,2020,3,20,3,PP,1-4,1,D,18
3/20/2020,2020,3,20,3,PP,1-4,1,D,17
3/20/2020,2020,3,20,3,PP,1-4,2,B,31
