,2021 - Multi-state Hemp Dual Purpose Trial (MHDPT) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Record Disease  and Insect Information if Present,,,,,,,,Notes: 
,,,,,,Grain Yield,Grain Yield,Dry Straw Yield,Dry Straw Yield,Plant Population at Establishment,Plant Population at Establishment,Plant Population at Harvest,Plant Population at Harvest,Total Plant Height at Harvest ,Total Plant Height at Harvest ,Stem Diameter at Harvest ,Stem Diameter at Harvest ,Time to 50%  flower (Male),Time to 50%  flower (Female Monoeciuos)  ,Male:Female,Harvest Moisture ,Protein Content ,Oil Content ,1000 Kernal Weight,Lodging,Hemp Leaf Spot ,Powdery Mildew ,Cercospora Leaf Spot ,Southern Blight,Fusarium Head Blight ,Russet Mites ,Corn Ear Worm,Hemp Borer ,
Site,Variety / Line,Rep,Entry,Plot #,,grams/m2,lbs./A,grams/m2,lbs./A,# plants/m2 ,plants/A,# plantsm2 ,plants/A,Mean (cm),SD (cm),Mean (mm),SD (mm),Days,Days ,,%,,,grams,(0-9),,,,,,,,,
Cornell,Katani,1,,102,,78.7,702,66.4,593,170.8,,50.7,691255,,,,,,,,,,,,,,,,,,,,,
Cornell,Katani,2,,211,,93,830,66.4,593,190.7,,75.3,772213,,,,,,,,,,,,,,,,,,,,,
Cornell,Katani,3,,311,,98,874,70.5,629,172.3,,83.7,697483,,,,,,,,,,,,,,,,,,,,,
Cornell,Katani,4,,406,,93,830,82.4,735,124.6,,79,504430,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG2730,1,,111,,159.8,1427,463.1,4133,116.9,,157,473292,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG2730,2,,205,,104.5,933,441,3936,141.5,,168,572932,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG2730,3,,308,,172.1,1536,530.7,4737,101.5,,179.7,411017,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG2730,4,,401,,106.6,951,451.6,4031,150.8,,149.7,610297,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG452,1,,113,,153.7,1372,276.2,2465,198.4,,138.7,803351,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG452,2,,202,,115.6,1032,281.6,2513,230.7,,135.3,934129,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG452,3,,305,,107.4,958,293.9,2623,524.6,,172,2123586,,,,,,,,,,,,,,,,,,,,,
Cornell,NWG452,4,,403,,120.5,1075,316,2820,207.7,,154,840716,,,,,,,,,,,,,,,,,,,,,
Cornell,X59,1,,109,,178.3,1591,91.8,819,86.1,,78.3,348741,,,,,,,,,,,,,,,,,,,,,
