2021 - Multi-state Hemp Dual Purpose Trial (MHDPT) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Record Disease  and Insect Information if Present,,,,,,,,Notes: 
,,,,,,Grain Yield,Grain Yield,Dry Straw Yield,Dry Straw Yield,Plant Population at Establishment,Plant Population at Establishment,Plant Population at Harvest,Plant Population at Harvest,Total Plant Height at Harvest ,Total Plant Height at Harvest ,Stem Diameter at Harvest ,Stem Diameter at Harvest ,Time to 50%  flower (Male),Time to 50%  flower (Female Monoeciuos)  ,Male:Female,Harvest Moisture ,Protein Content ,Oil Content ,1000 Kernal Weight,Lodging,Hemp Leaf Spot ,Powdery Mildew ,Cercospora Leaf Spot ,Southern Blight,Fusarium Head Blight ,Russet Mites ,Corn Ear Worm,Hemp Borer ,
Variety / Line,Site,Rep,Entry,Plot #,,grams/m2,lbs./A,grams/m2,lbs./A,# plants/m2 ,plants/A,# plantsm2 ,plants/A,Mean (cm),SD (cm),Mean (mm),SD (mm),Days,Days ,,%,,,grams,(0-9),,,,,,,,,
Anka,Michigan ,1,,,,25.68,,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,2,,,,28.71,,20.15,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,3,,,,1.87,,32.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,4,,,,2.57,,43.56,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,1,,,,5.91,,33.58,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,2,,,,10.59,,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,3,,,,33.77,,35.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,4,,,,6.06,,63.18,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,5,,,,72.56,,196.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,5,,,,97.28,,123.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,6,,,,165.68,,119.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Michigan ,6,,,,189.48,,111.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Anka,Wisconsin_Arlington,1,1,503,,78.85,,59,,13.67,,11.67,,83.33,,5.07,,,,0.94,,,,,,,,,,,,,,
Anka,Wisconsin_Arlington,2,1,106,,176.59,,264,,22.00,,19.33,,157.00,,6.92,,,,0.32,,,,,,,,,,,,,,
Anka,Wisconsin_Arlington,3,1,407,,179.63,,374,,27.67,,17.67,,192.33,,6.80,,,,1.94,,,,,,,,,,,,,,
Anka,Wisconsin_Arlington,4,1,311,,210.75,,297,,15.67,,15.67,,155.67,,6.02,,,,2.13,,,,,,,,,,,,,,
Anka,Wisconsin_ChippewaFalls,1,1,207,,35.53,,218.7,,,,6.666666667,,132.6666667,,7.13375,,,,0.428571429,,,,,,,,,,,,,,
Anka,Wisconsin_ChippewaFalls,2,1,404,,44.74,,183.7,,,,10.33333333,,125.6666667,,5.62875,,,,0.722222222,,,,,,,,,,,,,,
Anka,Wisconsin_ChippewaFalls,3,1,508,,45.68,,35.7,,,,11.33333333,,74.33333333,,2.915,,,,0.47826087,,,,,,,,,,,,,,
Anka,Wisconsin_ChippewaFalls,4,1,706,,39.85,,170.7,,,,11.66666667,,139.6666667,,5.15,,,,0.842105263,,,,,,,,,,,,,,
CFX-2,Kansas_Lexington,1,,105-1,,109.50,976.4,26.90,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
CFX-2,Kansas_Lexington,1,,105-2,,123.40,1100.4,26.80,,21.0,,,,,,,,,,,,,,,,,,,,,,,,
CFX-2,Kansas_Lexington,2,,202-1,,155.40,1385.7,27.30,,,,,,,,,,,,,,,,,,,,,,,,,,
CFX-2,Kansas_Lexington,2,,202-2,,192.80,1719.2,30.60,,,,,,,,,,,,,,,,,,,,,,,,,,
