Date,Year,Month,Day,Group,Block,M,F,V
3/20/2020,2020,3,20,1,PP2,2,1,13
3/20/2020,2020,3,20,2,PP2,>100,>30,>20
3/20/2020,2020,3,20,1,PPP8,3,4,7
3/20/2020,2020,3,20,2,PPP8,5,1,3
3/26/2020,2020,3,26,1,PP2,2,1,13
3/26/2020,2020,3,26,2,PP2,>100,>30,>20
3/26/2020,2020,3,26,1,PPP8,3,4,7
3/26/2020,2020,3,26,2,PPP8,5,1,3
8/13/2020,2020,8,13,1,PP2,3,5,75
8/13/2020,2020,8,13,2,PPP8,,,30
9/11/2020,2020,9,11,1,PP2,5,48,5
9/11/2020,2020,9,11,2,PPP8,3,3,20
9/25/2020,2020,9,24,1,PP2,2,47,0
