Year,Month,Day,Block,Row,Column,Induc_perc,MaleOpen_perc,FemaleOpen_perc,MonoOpen_perc,SeedHard_perc
2019,Jun,14,6,2,A,10,0,0,0,0
2019,Jun,14,6,2,B,100,0,0,0,0
2019,Jun,14,6,2,C,0,0,0,0,0
2019,Jun,14,6,2,D,0,0,0,0,0
2019,Jun,14,6,3,A,100,0,0,0,0
2019,Jun,14,6,3,B,100,0,0,0,0
2019,Jun,14,6,3,C,0,0,0,0,0
2019,Jun,14,6,3,D,50,0,0,0,0
2019,Jun,14,6,4,A,0,0,0,0,0
2019,Jun,14,6,4,B,50,0,0,0,0
2019,Jun,14,6,4,C,80,0,0,0,0
2019,Jun,14,6,4,D,0,0,0,0,0
2019,Jun,14,6,5,A,100,10,10,0,0
2019,Jun,14,6,5,B,100,0,0,0,0
2019,Jun,14,6,5,C,70,0,0,0,0
2019,Jun,14,6,5,D,,,,,
2019,Jun,14,7,1,A,0,0,0,0,0
2019,Jun,14,7,1,B,90,0,0,0,0
2019,Jun,14,7,1,C,10,0,0,0,0
2019,Jun,14,7,1,D,80,0,0,0,0
2019,Jun,14,7,2,A,100,0,0,0,0
2019,Jun,14,7,2,B,100,0,0,0,0
2019,Jun,14,7,2,C,100,0,0,0,0
2019,Jun,14,7,2,D,100,0,0,0,0
2019,Jun,14,7,3,A,100,40,0,0,0
2019,Jun,14,7,3,B,90,0,0,0,0
2019,Jun,14,7,3,C,0,0,0,0,0
2019,Jun,14,7,3,D,0,0,0,0,0
2019,Jun,14,7,4,A,0,0,0,0,0
2019,Jun,14,7,4,B,100,0,0,0,0
2019,Jun,14,7,4,C,100,0,0,0,0
2019,Jun,14,7,4,D,0,0,0,0,0
2019,Jun,14,7,5,A,0,0,0,0,0
2019,Jun,14,7,5,B,100,0,0,0,0
2019,Jun,14,7,5,C,100,0,0,0,0
2019,Jun,14,7,5,D,,,,,
2019,Jun,14,8,1,A,10,0,0,0,0
2019,Jun,14,8,1,B,0,0,0,0,0
2019,Jun,14,8,1,C,0,0,0,0,0
2019,Jun,14,8,1,D,0,0,0,0,0
2019,Jun,14,8,2,A,0,0,0,0,0
2019,Jun,14,8,2,B,0,0,0,0,0
2019,Jun,14,8,2,C,0,0,0,0,0
2019,Jun,14,8,2,D,100,0,0,0,0
2019,Jun,14,8,3,A,100,0,0,0,0
2019,Jun,14,8,3,B,0,0,0,0,0
2019,Jun,14,8,3,C,0,0,0,0,0
2019,Jun,14,8,3,D,80,0,0,0,0
2019,Jun,14,8,4,A,60,0,0,0,0
2019,Jun,14,8,4,B,30,0,0,0,0
2019,Jun,14,8,4,C,0,0,0,0,0
2019,Jun,14,8,4,D,100,0,0,0,0
2019,Jun,14,8,5,A,100,0,0,0,0
2019,Jun,14,8,5,B,100,0,0,0,0
2019,Jun,14,8,5,C,20,0,0,0,0
2019,Jun,14,8,5,D,,,,,
2019,Jun,14,9,1,A,0,0,0,0,0
2019,Jun,14,9,1,B,0,0,0,0,0
2019,Jun,14,9,1,C,40,0,0,0,0
2019,Jun,14,9,1,D,0,0,0,0,0
2019,Jun,14,9,2,A,40,0,0,0,0
2019,Jun,14,9,2,B,0,0,0,0,0
2019,Jun,14,9,2,C,0,0,0,0,0
2019,Jun,14,9,2,D,0,0,0,0,0
2019,Jun,14,9,3,A,40,0,0,0,0
2019,Jun,14,9,3,B,0,0,0,0,0
2019,Jun,14,9,3,C,0,0,0,0,0
2019,Jun,14,9,3,D,0,0,0,0,0
2019,Jun,14,9,4,A,0,0,0,0,0
2019,Jun,14,9,4,B,0,0,0,0,0
2019,Jun,14,9,4,C,0,0,0,0,0
2019,Jun,14,9,4,D,20,0,0,0,0
2019,Jun,17,5,1,A,90,10,10,0,0
2019,Jun,17,5,1,B,100,70,70,0,0
2019,Jun,17,5,1,C,100,100,100,0,0
2019,Jun,17,5,1,D,0,0,0,0,0
2019,Jun,17,5,2,A,70,0,0,0,0
2019,Jun,17,5,2,B,90,100,100,0,0
2019,Jun,17,5,2,C,0,0,0,0,0
2019,Jun,17,5,2,D,0,0,0,0,0
2019,Jun,17,5,3,A,100,20,0,0,0
2019,Jun,17,5,3,B,90,10,0,0,0
2019,Jun,17,5,3,C,10,0,0,0,0
2019,Jun,17,5,3,D,10,0,0,0,0
2019,Jun,17,5,4,A,0,0,0,0,0
2019,Jun,17,5,4,B,100,0,0,0,0
2019,Jun,17,5,4,C,0,0,0,0,0
2019,Jun,17,5,4,D,100,0,0,0,0
2019,Jun,17,5,5,A,0,0,0,0,0
2019,Jun,17,5,5,B,100,100,100,0,0
2019,Jun,17,5,5,C,0,0,0,0,0
2019,Jun,17,5,5,D,0,0,0,0,0
2019,Jun,17,6,1,A,100,10,20,0,0
2019,Jun,17,6,1,B,0,0,0,0,0
2019,Jun,17,6,1,C,100,0,0,0,0
2019,Jun,17,6,1,D,10,0,0,0,0
2019,Jun,17,6,2,A,10,0,0,0,0
2019,Jun,17,6,2,B,100,0,0,0,0
2019,Jun,17,6,2,C,0,0,0,0,0
2019,Jun,17,6,2,D,0,0,0,0,0
2019,Jun,17,6,3,A,100,0,0,0,0
2019,Jun,17,6,3,B,100,0,100,0,0
2019,Jun,17,6,3,C,0,0,0,0,0
2019,Jun,17,6,3,D,90,0,20,0,0
2019,Jun,17,6,4,A,0,0,0,0,0
2019,Jun,17,6,4,B,50,0,0,0,0
2019,Jun,17,6,4,C,100,0,0,0,0
2019,Jun,17,6,4,D,0,0,0,0,0
2019,Jun,17,6,5,A,100,100,100,0,0
2019,Jun,17,6,5,B,100,50,100,0,0
2019,Jun,17,6,5,C,80,0,0,0,0
2019,Jun,17,6,5,D,,,,,
2019,Jun,17,7,1,A,0,0,0,0,0
2019,Jun,17,7,1,B,100,0,0,0,0
2019,Jun,17,7,1,C,40,0,0,0,0
2019,Jun,17,7,1,D,100,0,0,0,0
2019,Jun,17,7,2,A,100,20,80,0,0
2019,Jun,17,7,2,B,90,10,10,0,0
2019,Jun,17,7,2,C,90,10,0,0,0
2019,Jun,17,7,2,D,100,10,90,0,0
2019,Jun,17,7,3,A,100,30,90,0,0
2019,Jun,17,7,3,B,80,0,0,0,0
2019,Jun,17,7,3,C,0,0,0,0,0
2019,Jun,17,7,3,D,0,0,0,0,0
2019,Jun,17,7,4,A,0,0,0,0,0
2019,Jun,17,7,4,B,100,0,10,0,0
2019,Jun,17,7,4,C,100,0,100,0,0
2019,Jun,17,7,4,D,0,0,0,0,0
2019,Jun,17,7,5,A,0,0,0,0,0
2019,Jun,17,7,5,B,100,0,50,0,0
2019,Jun,17,7,5,C,100,0,20,0,0
2019,Jun,17,7,5,D,,,,,
2019,Jun,17,8,1,A,50,0,0,0,0
2019,Jun,17,8,1,B,30,0,0,0,0
2019,Jun,17,8,1,C,0,0,0,0,0
2019,Jun,17,8,1,D,0,0,0,0,0
2019,Jun,17,8,2,A,0,0,0,0,0
2019,Jun,17,8,2,B,0,0,0,0,0
2019,Jun,17,8,2,C,50,0,0,0,0
2019,Jun,17,8,2,D,100,0,0,0,0
2019,Jun,17,8,3,A,100,100,100,0,0
2019,Jun,17,8,3,B,0,0,0,0,0
2019,Jun,17,8,3,C,0,0,0,0,0
2019,Jun,17,8,3,D,100,0,0,0,0
2019,Jun,17,8,4,A,50,0,0,0,0
2019,Jun,17,8,4,B,90,10,0,0,0
2019,Jun,17,8,4,C,0,0,0,0,0
2019,Jun,17,8,4,D,100,100,100,0,0
2019,Jun,17,8,5,A,100,100,100,0,0
2019,Jun,17,8,5,B,100,100,100,100,0
2019,Jun,17,8,5,C,20,0,0,0,0
2019,Jun,17,8,5,D,,,,,
2019,Jun,17,9,1,A,0,0,0,0,0
2019,Jun,17,9,1,B,0,0,0,0,0
2019,Jun,17,9,1,C,50,0,0,0,0
2019,Jun,17,9,1,D,10,0,0,0,0
2019,Jun,17,9,2,A,50,0,0,0,0
2019,Jun,17,9,2,B,0,0,0,0,0
2019,Jun,17,9,2,C,10,0,0,0,0
2019,Jun,17,9,2,D,0,0,0,0,0
2019,Jun,17,9,3,A,50,0,0,0,0
2019,Jun,17,9,3,B,10,0,0,0,0
2019,Jun,17,9,3,C,0,0,0,0,0
2019,Jun,17,9,3,D,0,0,0,0,0
2019,Jun,17,9,4,A,10,0,0,0,0
2019,Jun,17,9,4,B,0,0,0,0,0
2019,Jun,17,9,4,C,0,0,0,0,0
2019,Jun,17,9,4,D,40,0,0,0,0
2019,Jun,19,5,1,A,100,50,10,0,0
2019,Jun,19,5,1,B,100,100,80,0,0
2019,Jun,19,5,1,C,100,100,100,0,0
2019,Jun,19,5,1,D,0,0,0,0,0
2019,Jun,19,5,2,A,100,30,0,0,0
2019,Jun,19,5,2,B,100,100,80,0,0
2019,Jun,19,5,2,C,0,0,0,0,0
2019,Jun,19,5,2,D,0,0,0,0,0
2019,Jun,19,5,3,A,90,30,0,0,0
2019,Jun,19,5,3,B,80,80,10,0,0
2019,Jun,19,5,3,C,100,0,0,0,0
2019,Jun,19,5,3,D,10,0,0,0,0
2019,Jun,19,5,4,A,0,0,0,0,0
2019,Jun,19,5,4,B,100,50,0,0,0
2019,Jun,19,5,4,C,0,0,0,0,0
2019,Jun,19,5,4,D,100,50,0,0,0
2019,Jun,19,5,5,A,0,0,0,0,0
2019,Jun,19,5,5,B,100,100,100,0,0
2019,Jun,19,5,5,C,0,0,0,0,0
2019,Jun,19,5,5,D,0,0,0,0,0
2019,Jun,19,6,1,A,100,100,100,0,0
2019,Jun,19,6,1,B,0,0,0,0,0
2019,Jun,19,6,1,C,100,50,10,0,0
2019,Jun,19,6,1,D,10,0,0,0,0
2019,Jun,19,6,2,A,10,0,0,0,0
2019,Jun,19,6,2,B,100,0,0,0,0
2019,Jun,19,6,2,C,0,0,0,0,0
2019,Jun,19,6,2,D,0,0,0,0,0
2019,Jun,19,6,3,A,100,0,0,0,0
2019,Jun,19,6,3,B,100,100,100,0,0
2019,Jun,19,6,3,C,0,0,0,0,0
2019,Jun,19,6,3,D,100,0,0,0,0
2019,Jun,19,6,4,A,0,0,0,0,0
2019,Jun,19,6,4,B,80,0,0,0,0
2019,Jun,19,6,4,C,100,10,0,0,0
2019,Jun,19,6,4,D,0,0,0,0,0
2019,Jun,19,6,5,A,100,100,100,0,0
2019,Jun,19,6,5,B,100,100,100,0,0
2019,Jun,19,6,5,C,100,0,0,0,0
2019,Jun,19,6,5,D,,,,,
2019,Jun,19,7,1,A,0,0,0,0,0
2019,Jun,19,7,1,B,100,10,0,0,0
2019,Jun,19,7,1,C,0,0,0,0,0
2019,Jun,19,7,1,D,100,0,0,0,0
2019,Jun,19,7,2,A,,,,,
2019,Jun,19,7,2,B,100,100,50,0,0
2019,Jun,19,7,2,C,100,90,10,0,0
2019,Jun,19,7,2,D,100,100,100,0,0
2019,Jun,19,7,3,A,100,100,100,0,0
2019,Jun,19,7,3,B,100,10,0,0,0
2019,Jun,19,7,3,C,0,0,0,0,0
2019,Jun,19,7,3,D,0,0,0,0,0
2019,Jun,19,7,4,A,0,0,0,0,0
2019,Jun,19,7,4,B,100,100,100,0,0
2019,Jun,19,7,4,C,100,100,100,0,0
2019,Jun,19,7,4,D,0,0,0,0,0
2019,Jun,19,7,5,A,0,0,0,0,0
2019,Jun,19,7,5,B,100,100,30,0,0
2019,Jun,19,7,5,C,100,100,30,0,0
2019,Jun,19,7,5,D,,,,,
2019,Jun,19,8,1,A,100,0,0,0,0
2019,Jun,19,8,1,B,0,0,0,0,0
2019,Jun,19,8,1,C,0,0,0,0,0
2019,Jun,19,8,1,D,0,0,0,0,0
2019,Jun,19,8,2,A,0,0,0,0,0
2019,Jun,19,8,2,B,0,0,0,0,0
2019,Jun,19,8,2,C,100,0,0,0,0
2019,Jun,19,8,2,D,100,100,100,0,0
2019,Jun,19,8,3,A,100,100,100,0,0
2019,Jun,19,8,3,B,0,0,0,0,0
2019,Jun,19,8,3,C,0,0,0,0,0
2019,Jun,19,8,3,D,100,90,10,0,0
2019,Jun,19,8,4,A,100,0,0,0,0
2019,Jun,19,8,4,B,100,10,0,0,0
2019,Jun,19,8,4,C,0,0,0,0,0
2019,Jun,19,8,4,D,100,100,100,0,0
2019,Jun,19,8,5,A,100,100,100,0,0
2019,Jun,19,8,5,B,100,100,100,0,0
2019,Jun,19,8,5,C,100,20,0,0,0
2019,Jun,19,8,5,D,,,,,
2019,Jun,19,9,1,A,0,0,0,0,0
2019,Jun,19,9,1,B,0,0,0,0,0
2019,Jun,19,9,1,C,100,0,0,0,0
2019,Jun,19,9,1,D,100,0,0,0,0
2019,Jun,19,9,2,A,100,10,0,0,0
2019,Jun,19,9,2,B,0,0,0,0,0
2019,Jun,19,9,2,C,100,0,0,0,0
2019,Jun,19,9,2,D,0,0,0,0,0
2019,Jun,19,9,3,A,100,10,0,0,0
2019,Jun,19,9,3,B,100,0,0,0,0
2019,Jun,19,9,3,C,0,0,0,0,0
2019,Jun,19,9,3,D,0,0,0,0,0
2019,Jun,19,9,4,A,100,0,0,0,0
2019,Jun,19,9,4,B,0,0,0,0,0
2019,Jun,19,9,4,C,0,0,0,0,0
2019,Jun,19,9,4,D,100,0,0,0,0
2019,Jun,21,5,1,A,100,10,0,0,0
2019,Jun,21,5,1,B,100,100,100,0,0
2019,Jun,21,5,1,C,100,100,100,0,0
2019,Jun,21,5,1,D,0,0,0,0,0
2019,Jun,21,5,2,A,0,0,0,0,0
2019,Jun,21,5,2,B,100,100,100,0,0
2019,Jun,21,5,2,C,0,0,0,0,0
2019,Jun,21,5,2,D,0,0,0,0,0
2019,Jun,21,5,3,A,100,0,0,0,0
2019,Jun,21,5,3,B,100,80,20,0,0
2019,Jun,21,5,3,C,100,0,0,0,0
2019,Jun,21,5,3,D,20,0,0,0,0
2019,Jun,21,5,4,A,0,0,0,0,0
2019,Jun,21,5,4,B,100,100,0,0,0
2019,Jun,21,5,4,C,100,0,0,0,0
2019,Jun,21,5,4,D,100,0,0,0,0
2019,Jun,21,5,5,A,0,0,0,0,0
2019,Jun,21,5,5,B,100,100,100,0,0
2019,Jun,21,5,5,C,0,0,0,0,0
2019,Jun,21,5,5,D,0,0,0,0,0
2019,Jun,21,6,1,A,100,100,100,0,0
2019,Jun,21,6,1,B,0,0,0,0,0
2019,Jun,21,6,1,C,100,30,0,0,0
2019,Jun,21,6,1,D,0,0,0,0,0
2019,Jun,21,6,2,A,20,0,0,0,0
2019,Jun,21,6,2,B,100,0,0,0,0
2019,Jun,21,6,2,C,0,0,0,0,0
2019,Jun,21,6,2,D,0,0,0,0,0
2019,Jun,21,6,3,A,100,0,0,0,0
2019,Jun,21,6,3,B,100,0,0,0,0
2019,Jun,21,6,3,C,0,0,0,0,0
2019,Jun,21,6,3,D,100,100,100,0,0
2019,Jun,21,6,4,A,0,0,0,0,0
2019,Jun,21,6,4,B,80,0,0,0,0
2019,Jun,21,6,4,C,100,10,0,0,0
2019,Jun,21,6,4,D,0,0,0,0,0
2019,Jun,21,6,5,A,100,100,100,0,0
2019,Jun,21,6,5,B,100,100,100,0,0
2019,Jun,21,6,5,C,90,0,0,0,0
2019,Jun,21,6,5,D,,,,,
2019,Jun,21,7,1,A,0,0,0,0,0
2019,Jun,21,7,1,B,100,20,0,0,0
2019,Jun,21,7,1,C,70,0,0,0,0
2019,Jun,21,7,1,D,100,0,0,0,0
2019,Jun,21,7,2,A,,,,,
2019,Jun,21,7,2,B,100,100,100,0,0
2019,Jun,21,7,2,C,100,100,60,0,0
2019,Jun,21,7,2,D,100,100,100,0,0
2019,Jun,21,7,3,A,100,100,100,0,0
2019,Jun,21,7,3,B,100,0,0,0,0
2019,Jun,21,7,3,C,0,0,0,0,0
2019,Jun,21,7,3,D,0,0,0,0,0
2019,Jun,21,7,4,A,0,0,0,0,0
2019,Jun,21,7,4,B,100,20,10,0,0
2019,Jun,21,7,4,C,100,100,100,0,0
2019,Jun,21,7,4,D,0,0,0,0,0
2019,Jun,21,7,5,A,0,0,0,0,0
2019,Jun,21,7,5,B,0,0,0,0,0
2019,Jun,21,7,5,C,0,0,0,0,0
2019,Jun,21,7,5,D,,,,,
2019,Jun,21,8,1,A,80,0,0,0,0
2019,Jun,21,8,1,B,10,0,0,0,0
2019,Jun,21,8,1,C,0,0,0,0,0
2019,Jun,21,8,1,D,0,0,0,0,0
2019,Jun,21,8,2,A,0,0,0,0,0
2019,Jun,21,8,2,B,0,0,0,0,0
