Sample_Name,Block,Row,Column,Rep,Sampling_Date,Cannabichromene,Cannabidiol,Cannabidiolic_Acid,Cannabidivarin,Cannabigerol,Cannabigerolic_ Acid,Cannabicyclol,Cannabinol,8-Tetrahydrocannabinol,9-Tetrahydrocannabinol,Tetrahydrocannabinolic_Acid,Tetrahydrocannabidivarin,Total_Potential_THC,Total_Potential_CBD
PHYLOS,,,,3,10/18/2019,0.261,3.704,2.771,BLOQ,0.205,0.067,BLOQ,BLOQ,BLOQ,0.314,BLOQ,BLOQ,0.314,6.134
BAMA,,,,1,9/19/2019,0.105,0.118,0.054,BLOQ,BLOQ,BLOQ,BLOQ,0.074,BLOQ,1.143,0.082,0.066,1.215,0.165
BAMA,,,,1,10/24/2019,BLOQ,BLOQ,0.858,BLOQ,BLOQ,0.061,BLOQ,BLOQ,BLOQ,BLOQ,0.395,BLOQ,0.395,0.858
YUMA_2,,,,1,10/24/2019,BLOQ,BLOQ,0.263,BLOQ,BLOQ,0.081,BLOQ,BLOQ,BLOQ,0.116,0.862,BLOQ,0.872,0.263
BERRY_BLOSSOM,,,,1,10/18/2019,0.292,3.786,1.346,BLOQ,0.213,BLOQ,BLOQ,BLOQ,BLOQ,0.245,BLOQ,BLOQ,0.245,4.966
BERRY_BLOSSOM,,,,2,10/18/2019,0.135,2.214,0.985,BLOQ,0.132,BLOQ,BLOQ,BLOQ,BLOQ,0.151,BLOQ,BLOQ,0.151,3.078
BERRY_BLOSSOM,,,,3,10/18/2019,0.221,3.432,1.013,BLOQ,0.198,BLOQ,BLOQ,BLOQ,BLOQ,0.229,BLOQ,BLOQ,0.229,4.320
CHERRY_BLOSSOM,,,,1,10/18/2019,0.250,3.880,1.620,BLOQ,0.210,BLOQ,BLOQ,BLOQ,BLOQ,0.266,BLOQ,BLOQ,0.266,5.301
CHERRY_BLOSSOM,,,,2,10/18/2019,0.551,5.905,1.556,BLOQ,0.259,BLOQ,BLOQ,BLOQ,BLOQ,0.386,BLOQ,BLOQ,0.386,7.270
CHERRY_BLOSSOM,,,,3,10/18/2019,0.350,4.872,1.383,BLOQ,0.273,BLOQ,BLOQ,BLOQ,BLOQ,0.336,BLOQ,BLOQ,0.336,6.085
CHERRY_X_T1,,,,1,10/18/2019,0.240,3.646,0.788,BLOQ,0.166,BLOQ,BLOQ,BLOQ,BLOQ,0.230,BLOQ,BLOQ,0.230,4.337
CHERRY_X_T1,,,,2,10/18/2019,0.372,5.037,1.621,BLOQ,0.229,BLOQ,BLOQ,BLOQ,BLOQ,0.371,BLOQ,BLOQ,0.371,6.459
CHERRY_X_T1,,,,3,10/18/2019,0.353,4.606,4.221,BLOQ,0.318,0.163,BLOQ,BLOQ,BLOQ,0.463,BLOQ,BLOQ,0.463,8.308
CHERRY_WINE,,,,1,10/18/2019,0.218,3.226,1.115,BLOQ,0.112,BLOQ,BLOQ,BLOQ,BLOQ,0.183,BLOQ,BLOQ,0.183,4.204
CHERRY_WINE,,,,3,10/18/2019,0.454,5.378,1.627,BLOQ,0.220,BLOQ,BLOQ,BLOQ,BLOQ,0.373,BLOQ,BLOQ,0.373,6.805
HAN_FNQ,,,,1,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.054,BLOQ,0.068,0.054,BLOQ
HAN_NE,,,,1,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.239,0.059,0.279,0.291,BLOQ
HAN_NE,,,,2,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.352,0.469,0.651,0.763,BLOQ
HAN_NW,,,,1,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.152,BLOQ,0.178,0.152,BLOQ
PUMA_3,,,,1,10/24/2019,BLOQ,BLOQ,0.674,BLOQ,BLOQ,0.053,BLOQ,BLOQ,BLOQ,0.048,0.761,BLOQ,0.715,0.674
PUMA_4,,,,1,10/24/2019,BLOQ,0.062,0.959,BLOQ,BLOQ,0.081,BLOQ,BLOQ,BLOQ,BLOQ,0.433,BLOQ,0.433,0.903
SI-1,,,,1,10/24/2019,0.100,BLOQ,BLOQ,BLOQ,0.088,BLOQ,BLOQ,0.139,BLOQ,0.930,BLOQ,0.112,0.930,BLOQ
SI-1,,,,2,10/24/2019,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,0.080,BLOQ,BLOQ,BLOQ,0.151,0.918,BLOQ,0.956,BLOQ
